18,3,11,9,15,2,6,4,7,17,14,1,10,8,13,12,5,19,16,206.9440333888401
5,3,7,17,10,2,12,4,15,18,9,11,16,8,14,1,19,13,6,214.1676364169236
5,10,11,9,6,14,13,3,12,19,7,1,16,8,2,4,18,17,15,162.51798118651882
19,3,8,4,12,13,7,6,18,10,9,1,16,5,11,15,14,2,17,140.95537732897566
13,3,1,12,18,2,15,17,10,5,7,8,14,4,11,16,19,9,6,129.14743838471006
10,1,16,5,7,8,3,15,12,18,13,2,17,19,6,11,9,4,14,239.02555902684537
1,14,9,17,15,12,7,3,19,13,4,5,8,10,18,11,2,16,6,216.96723897668875
18,10,17,15,2,13,4,11,1,16,5,3,19,7,8,14,9,6,12,241.8407987760157
6,12,8,16,5,13,1,10,18,4,17,2,7,14,9,19,15,11,3,166.2644594851122
18,12,2,19,4,13,1,10,3,6,15,16,7,5,9,17,14,11,8,104.9128018655072
2,10,19,3,1,13,12,9,15,17,5,8,7,6,14,4,16,18,11,118.95825500826751
4,17,13,10,1,19,15,18,6,14,9,16,11,3,7,5,12,8,2,247.0786578403244
5,6,13,12,9,1,7,15,2,11,16,14,3,4,17,8,19,18,10,158.50550236421728
19,9,15,12,6,1,3,10,2,5,8,16,7,4,13,18,14,11,17,320.6840533019022
8,1,9,13,7,14,15,19,3,18,12,11,10,5,6,2,16,17,4,237.01824801011455
2,16,8,3,5,17,9,15,6,13,18,19,10,11,7,12,4,1,14,231.7735538403093
10,19,14,16,17,12,11,9,18,5,15,6,4,3,8,2,1,7,13,274.84588561651236
10,9,7,17,11,3,2,16,18,5,8,19,12,15,6,14,1,13,4,260.0699152236412
17,19,2,4,13,14,6,10,7,16,15,18,3,5,1,9,11,8,12,252.7656569392315
7,6,9,17,10,16,5,2,19,3,11,4,15,1,8,13,12,14,18,357.39313950703837
13,2,5,10,12,8,15,7,9,18,16,6,11,17,19,3,1,14,4,272.28823501911916
17,15,5,8,12,9,7,2,13,14,11,1,19,6,10,3,4,16,18,339.2082699506911
10,6,14,12,18,11,19,1,9,16,17,5,13,2,3,4,7,15,8,262.22734298582054
13,3,14,9,15,10,2,7,8,4,11,6,18,1,5,17,12,16,19,310.0596493716632
2,5,13,16,17,15,18,6,14,11,4,9,3,10,19,8,1,7,12,266.3000294330774
10,3,5,16,13,2,6,9,15,19,12,8,1,17,18,11,7,4,14,377.40437318591756
4,16,17,11,18,8,1,5,15,10,3,7,19,12,9,13,14,2,6,100.01635940989699
9,13,2,11,10,14,12,19,1,5,16,6,3,7,17,18,4,8,15,214.17888431661896
2,11,15,8,7,14,17,13,19,9,10,18,12,6,5,4,3,1,16,230.93864367156058
19,9,5,2,18,15,16,12,17,13,11,3,10,8,6,4,7,1,14,371.0831237344945
3,12,5,7,6,14,19,8,4,1,11,2,17,10,18,9,15,13,16,234.1897718323145
10,9,17,16,19,14,4,2,13,5,8,11,7,15,6,12,1,3,18,406.8228735230165
11,16,7,9,13,10,1,2,12,18,8,6,14,4,19,3,15,5,17,344.18253036275485
10,9,6,8,16,2,14,11,7,1,5,17,12,18,4,19,15,13,3,242.56828505994812
16,8,1,14,2,5,17,12,10,6,4,11,9,3,19,18,15,7,13,260.6636984624927
12,6,7,18,3,14,8,19,1,10,16,9,15,2,5,11,13,17,4,263.02295646390354
10,17,15,16,19,9,6,5,7,1,2,8,3,13,18,14,4,12,11,299.12279267135233
6,4,15,12,2,10,7,1,17,19,9,5,11,8,18,3,14,16,13,388.5148338544448
16,2,11,8,12,13,9,3,18,5,17,19,6,10,1,14,15,7,4,190.5548354108708
12,6,11,17,19,16,3,1,14,7,9,10,8,13,2,4,5,15,18,273.7315509486147
12,4,15,13,2,7,16,1,17,5,9,14,19,18,3,10,8,11,6,221.35758232111394
14,10,8,3,15,5,2,1,16,4,17,11,13,12,18,7,9,6,19,192.80269164991608
16,18,15,13,14,5,19,17,2,7,1,12,9,4,6,11,3,10,8,353.8452970188379
8,7,10,2,12,15,18,1,3,11,19,5,16,17,13,9,4,14,6,195.15375325028918
2,13,4,7,1,15,17,5,16,18,10,9,19,8,6,11,12,3,14,217.0296400101598
7,19,18,12,3,6,5,8,2,15,17,10,4,1,9,13,14,11,16,307.3747017883889
10,12,13,16,3,4,11,17,2,1,15,7,19,14,9,18,6,5,8,243.76084331574015
10,16,15,12,2,14,9,6,17,7,8,3,18,4,19,5,11,13,1,277.5096880611555
12,1,14,10,7,13,16,11,4,5,19,2,3,18,6,9,15,17,8,427.4126812179913
6,17,8,10,7,9,18,3,13,5,15,11,14,2,16,4,12,1,19,293.8808396793741
13,14,7,10,2,19,1,9,12,15,16,18,5,3,6,8,4,17,11,393.49679123072985
19,9,8,16,15,17,5,18,12,13,10,2,3,6,7,14,11,1,4,439.4676961277782
6,2,13,16,12,10,8,15,4,17,5,3,9,7,19,18,11,1,14,401.0060832114244
17,2,16,11,7,4,19,3,12,14,5,18,13,1,6,10,9,15,8,345.8449456493145
4,18,10,9,15,8,14,16,12,13,2,19,1,11,6,7,3,5,17,373.60594086055374
8,17,1,11,2,14,9,6,19,3,16,18,12,15,5,7,13,4,10,392.04236182339133
18,9,7,2,6,5,14,3,12,17,16,11,4,13,19,10,8,1,15,431.94683315227735
11,2,7,16,10,4,5,12,14,15,9,18,13,1,6,3,8,17,19,485.3327080962155
10,17,8,12,7,15,5,9,6,2,16,11,13,4,19,3,1,14,18,570.9447516379455
18,1,7,8,10,5,17,3,13,16,9,19,14,6,12,4,2,11,15,372.63247592118967
17,19,14,10,15,7,6,1,18,16,9,11,8,3,12,13,2,5,4,588.0221822195543
4,9,17,2,7,14,16,15,12,3,10,6,8,18,11,5,13,1,19,396.70271263770087
9,6,5,2,18,10,3,11,1,15,4,19,8,17,13,14,7,16,12,446.97698363272656
8,10,7,19,6,14,5,18,1,15,9,16,4,3,13,12,17,2,11,440.9158027675114
8,15,13,11,12,16,7,17,19,2,10,9,1,18,5,14,4,3,6,405.2699309567647
19,17,1,16,2,5,3,10,18,7,6,11,12,14,9,13,15,4,8,448.57707423723207
9,10,14,4,6,8,1,11,16,5,19,17,3,15,12,7,13,2,18,475.4628382977736
18,3,2,17,1,8,6,11,19,16,13,5,10,4,9,7,12,15,14,538.6203244086249
7,9,6,15,3,8,19,16,12,2,17,11,10,1,5,4,14,13,18,424.8184255160884
18,15,4,10,7,5,6,17,12,16,9,1,3,13,19,8,14,11,2,459.409320879857
12,6,17,16,13,4,10,11,1,2,15,5,3,18,7,9,8,14,19,462.24465257188643
9,15,6,10,16,4,12,17,2,3,19,11,13,8,18,7,5,14,1,465.7206988142481
12,1,15,9,10,14,8,2,18,16,5,3,13,6,7,11,17,4,19,541.7924432723224
2,18,13,17,15,9,7,1,11,14,19,10,5,16,6,12,4,3,8,454.8755346256287
12,1,13,2,7,4,6,11,14,16,10,8,17,5,9,18,15,3,19,590.702731560614
10,6,15,12,19,14,16,2,8,4,11,9,5,17,13,3,7,1,18,492.02472642324307
2,10,1,16,12,9,6,3,13,19,11,4,17,5,8,14,15,7,18,549.0007625288604
7,10,13,16,15,4,2,17,6,11,9,5,8,3,18,12,19,1,14,557.641574083115
8,9,14,13,6,19,18,11,12,7,17,10,5,1,4,3,15,16,2,552.8995418096613
7,17,5,10,6,16,18,15,14,19,9,1,3,4,13,11,12,2,8,556.7366238790885
12,1,6,10,16,15,13,11,8,4,2,19,5,3,9,18,7,14,17,542.1608084210392
4,19,13,16,10,9,12,11,14,7,5,8,17,6,18,3,15,2,1,558.4044998794734
8,9,2,10,12,14,15,3,19,1,16,11,5,17,6,13,7,4,18,662.4484793023993
12,9,17,8,10,15,19,1,18,2,16,11,3,7,6,5,4,14,13,564.8401384195678
5,10,9,2,13,17,1,3,11,14,19,16,18,12,15,6,8,4,7,117.06909906706765
1,10,12,2,15,6,18,14,7,9,16,3,4,13,19,8,5,17,11,168.45876629357457
9,19,5,10,2,18,3,7,17,16,14,8,11,1,15,12,4,6,13,192.33094400104264
8,10,12,14,15,7,9,1,18,5,3,11,16,2,19,17,6,13,4,201.46710034444092
3,9,16,11,17,5,7,14,1,12,13,8,18,4,15,2,19,6,10,104.88108046191799
17,15,7,12,4,2,13,16,18,14,3,1,10,8,19,6,9,5,11,208.3701134439597
10,16,1,13,11,19,18,17,4,3,8,9,7,15,5,14,2,12,6,217.82745138304293
7,1,17,4,3,5,14,12,2,15,11,9,6,8,19,10,18,16,13,264.38690413887366
16,4,7,18,13,15,5,8,2,12,19,11,14,17,6,9,3,10,1,332.3355247976579
18,10,17,11,16,4,13,3,14,9,12,1,6,7,19,5,15,2,8,305.4191165793418
7,2,14,16,9,8,15,3,1,12,13,6,19,17,18,11,4,5,10,313.39415334112226
7,2,15,13,6,14,9,4,18,1,5,10,12,3,11,19,17,8,16,348.30056432974857
11,9,7,4,14,10,16,15,13,2,17,3,5,8,6,12,19,1,18,396.18830848564306
8,19,15,2,3,9,10,6,14,18,7,5,17,4,13,12,1,16,11,350.1296402652997
19,1,18,7,13,6,9,10,12,8,16,4,3,15,14,5,11,17,2,217.95427484631927
4,16,15,19,5,6,18,11,12,13,1,10,9,3,8,2,14,17,7,231.38390145652255
10,6,13,8,5,19,16,9,17,12,18,11,14,4,3,7,2,15,1,251.42292929215753
13,6,5,17,18,10,15,11,1,19,9,2,14,8,7,12,3,4,16,295.90959543901863
10,15,11,9,2,19,14,18,12,13,16,5,3,1,6,4,8,17,7,297.3526733501016
12,6,16,14,7,2,11,19,17,15,9,5,4,18,13,8,1,3,10,309.0903019715591
9,16,15,13,10,14,3,17,12,5,4,8,19,18,1,2,7,6,11,316.6930354450811
18,10,6,13,15,7,3,9,1,16,19,2,14,5,12,8,4,11,17,435.1354549683363
18,3,15,9,19,16,17,8,6,7,10,11,5,14,4,13,1,12,2,338.05037267913286
4,10,14,16,6,8,7,5,12,18,11,9,15,17,19,13,2,1,3,359.11830688652395
4,17,12,9,16,10,5,15,1,19,14,11,3,8,6,13,2,7,18,462.0075785671154
6,18,12,16,15,8,19,3,4,13,9,11,2,17,7,14,5,10,1,457.4461669032457
17,4,19,10,9,11,13,7,3,5,1,15,6,8,2,18,12,14,16,117.12965814958419
17,8,16,2,7,3,11,6,10,12,15,1,13,4,9,19,18,5,14,131.68835233320598
9,8,13,2,18,14,19,7,12,11,17,6,10,4,5,15,16,3,1,185.0556347935435
8,6,17,12,19,9,15,13,14,11,1,2,10,4,3,5,7,16,18,248.41672420907852
18,19,10,16,7,9,2,12,11,17,13,15,4,14,6,1,3,5,8,324.8655417923076
15,6,13,4,16,17,11,12,19,2,9,8,10,1,7,3,18,5,14,339.0070700871212
8,16,13,15,7,9,4,12,14,17,11,5,10,3,6,1,19,2,18,565.3732899072161
2,6,7,17,15,10,18,3,14,13,1,8,19,16,12,9,5,4,11,377.40437318591756
4,18,9,13,19,8,11,17,1,2,16,5,3,7,6,14,10,15,12,400.803966722556
19,3,15,9,7,11,13,8,2,1,17,10,12,4,6,18,5,16,14,431.9940861712084
10,4,14,7,18,12,3,8,16,17,15,9,13,19,11,5,2,6,1,136.13327174189175
5,3,13,2,16,19,17,10,8,6,1,11,14,9,12,7,4,18,15,203.12314389900556
4,10,15,11,7,8,18,17,6,16,19,9,14,13,12,1,5,3,2,364.0499515291542
4,10,3,16,6,8,7,11,14,2,5,9,1,13,12,19,15,17,18,423.46943911739146
8,18,5,9,16,2,19,7,11,10,13,4,3,15,6,12,17,14,1,368.4889312803587
18,1,5,11,6,4,15,10,9,3,16,8,19,14,12,7,13,17,2,466.24584372180817
2,19,7,17,3,14,6,1,8,15,16,9,5,10,12,13,4,11,18,436.06438987027235
7,9,17,8,19,10,18,3,1,16,4,12,13,5,6,11,15,2,14,461.2856545104228
13,17,3,14,8,5,19,12,4,7,10,11,9,6,18,2,15,16,1,248.94506395182444
17,14,19,6,10,1,15,11,8,18,16,9,5,3,7,12,2,13,4,262.54180878591615
12,6,13,8,1,18,9,3,17,19,16,15,4,10,5,14,7,2,11,335.6195974853315
14,1,13,12,15,5,11,2,18,4,10,19,3,16,6,7,9,17,8,375.1393864242259
4,14,12,19,6,8,9,16,2,15,13,5,10,18,7,3,17,11,1,385.0399684608978
